recommender_name,rmse,best_parameters,average_precision_at_k,average_recall_at_k
BaselineRecommender,0.8780297835850501,"{'beta_u': 15, 'beta_i': 5}",0.6314754098360655,0.6736457027675588
UserCF,0.9074767419642666,"{'K': 50, 'similarity': 'cosine'}",0.7195628415300547,0.5342776724188979
ItemCF,0.9205171731188173,"{'K': 1, 'similarity': 'pearson'}",0.6703825136612022,0.5108199362073954
HybridRecommender,0.858249308810308,"{'weights': [0.25, 0.25, 0.5]}",0.7112568306010929,0.5381805767843333
SVDRecommender,0.8729907839646616,{'n_factors': 3},0.731584699453552,0.5394493235227633
