recommender_name,rmse,mae,best_parameters,average_precision_at_k,average_recall_at_k
BaselineRecommender,0.8780297835850501,0.705406042540454,"{'beta_u': 15, 'beta_i': 5}",0.6314754098360655,0.6736457027675588
UserCF,0.9066146912653632,0.7213911257625802,"{'K': 50, 'similarity': 'cosine'}",0.6265573770491802,0.6710276153225598
ItemCF,0.9179911602655899,0.7355490982437628,"{'K': 1, 'similarity': 'pearson'}",0.591912568306011,0.654837028211398
SVDRecommender,0.8729907839646616,0.6980042972154199,{'n_factors': 3},0.731584699453552,0.5394493235227633
CoClusteringRecommender,0.9448502813525655,0.7401727590845658,"{'n_cltr_u': 4, 'n_cltr_i': 3, 'n_epochs': 20}",0.7171584699453553,0.5359160343326177
HybridRecommender,0.858249308810308,0.688616414339245,"{'weights': [0.25, 0.25, 0.5]}",0.7112568306010929,0.5381805767843333
